Month,Price
0,100.692
1,97.1925
2,95.7066
3,95.6376
4,96.004
5,96.7177
6,101.728
7,105.626
8,100.372
9,103.981
10,102.139
11,102.635
12,103.334
13,107.002
14,108.45
15,106.467
16,106.858
17,102.878
18,105.805
19,104.003
20,105.385
21,104.674
22,99.2801
23,102.61
24,101.31
25,101.657
26,106.522
27,108.239
28,110.014
29,113.97
30,111.094
31,108.906
32,110.185
33,109.408
34,106.232
35,107.535
36,104.753
37,104.814
38,108.839
39,116.126
40,120.144
41,123.497
42,127.584
43,126.337
44,128.466
45,126.234
46,123.678
47,126.587
48,122.508
49,123.748
50,118.629
51,121.306
52,120.029
53,120.027
54,121.24
55,124.495
56,127.033
57,137.534
58,134.125
59,133.653
60,129.454
61,134.225
62,128.479
63,130.339
64,125.261
65,128.238
66,128.733
67,133.093
68,135.713
69,135.91
70,138.728
71,139.792
72,133.452
73,137.27
74,136.413
75,137.544
76,138.681
77,141.61
78,146.144
79,140.974
80,147.385
81,141.38
82,131.234
83,123.341
84,117.682
85,119.033
86,122.749
87,119.586
88,114.662
89,121.198
90,120.251
91,121.987
92,129.956
93,125.332
94,128.526
95,130.014
96,130.083
97,127.868
98,125.295
99,127.103
100,128.948
101,129.665
102,133.608
103,136.7
104,133.985
105,133.765
106,128.86
107,128.404
108,126.472
109,126.527
110,123.735
111,119.543
112,118.994
113,119.986
114,118.359
115,118.488
116,119.694
117,120.966
118,120.543
119,121.761
120,127.191
121,129.474
122,130.322
123,128.098
124,124.955
125,125.465
126,126.995
127,129.725
128,127.677
129,129.166
130,125.235
131,123.737
132,117.663
133,118.722
134,121.18
135,124.234
136,124.905
137,130.03
138,133.231
139,133.6
140,133.889
141,137.177
142,140.194
143,143.928
144,143.622
145,142.182
146,141.461
147,138.457
148,138.789
149,133.588
150,134.719
151,135.884
152,137.386
153,132.708
154,134.44
155,136.252
156,141.828
157,145.965
158,142.591
159,152.891
160,157.727
161,162.945
162,163.833
163,165.477
164,158.611
165,165.925
166,161.673
167,169.779
168,176.207
169,176.386
170,176.651
171,176.949
172,177.16
173,179.845
174,184.149
175,176.351
176,176.09
177,175.305
178,170.401
179,166.924
180,161.829
181,168.194
182,168.005
183,168.842
184,166.048
185,157.142
186,161.041
187,161.17
188,156.357
189,154.061
190,156.721
191,157.292
192,157.667
193,153.865
194,164.074
195,165.363
196,169.949
197,172.71
198,168.182
199,165.716
200,161.281
201,159.391
202,159.536
203,157.234
204,154.571
205,159.037
206,159.511
207,164.301
208,170.284
209,168.652
210,164.812
211,164.291
212,170.879
213,183.073
214,181.949
215,176.829
216,173.472
217,176.705
218,177.726
219,172.494
220,176.528
221,175.546
222,177.717
223,174.56
224,172.535
225,168.449
226,163.703
227,167.201
228,167.453
229,166.116
230,167.491
231,177.076
232,168.53
233,170.855
234,169.445
235,166.76
236,179.728
237,184.618
238,189.669
239,189.077
240,192.114
241,191.47
242,194.381
243,191.156
244,188.227
245,193.805
246,185.831
247,178.105
248,177.608
249,181.469
250,182.726
251,177.716
252,178.168
253,171.579
254,166.734
255,162.102
256,165.86
257,167.851
258,168.483
259,171.21
260,159.496
261,151.822
262,158.228
263,156.749
264,151.35
265,157.144
266,161.028
267,161.119
268,172.506
269,173.717
270,175.128
271,188.713
272,177.359
273,171.863
274,174.526
275,175.774
276,172.597
277,172.608
278,168.433
279,178.432
280,170.567
281,168.42
282,166.506
283,163.009
284,163.77
285,159.976
286,155.436
287,157.936
288,161.821
289,162.993
290,165.095
291,160.214
292,167.392
293,166.685
294,164.917
295,165.109
296,167.18
297,170.834
298,164.953
299,162.256
300,168.046
301,164.103
302,159.393
303,154.054
304,162.188
305,157.732
306,155.652
307,160.516
308,152.105
309,155.844
310,153.864
311,153.98
312,157.841
313,154.415
314,159.286
315,160.636
316,161.009
317,168.861
318,173.755
319,169.898
320,166.689
321,170.577
322,173.647
323,177.581
324,177.967
325,175.06
326,172.334
327,170.94
328,169.049
329,178.951
330,174.074
331,167.493
332,166.285
333,165.859
334,167.767
335,168.943
336,169.55
337,174.364
338,178.283
339,179.643
340,179.227
341,175.988
342,185.828
343,180.725
344,181.116
345,189.435
346,187.624
347,184.452
348,182.714
349,175.967
350,180.408
351,182.182
352,181.28
353,175.494
354,172.538
355,174.581
356,170.958
357,167.02
358,168.331
359,172.737
360,173.64
361,175.933
362,170.183
363,177.186
364,181.296
365,185.729
366,191.566
367,186.164
368,181.795
369,176.426
370,168.581
371,172.086
372,163.664
373,157.548
374,151.2
375,147.207
376,142.564
377,142.029
378,147.461
379,149.862
380,149.805
381,150.332
382,149.274
383,145.827
384,135.964
385,137.252
386,135.405
387,133.482
388,133.35
389,135.969
390,134.925
391,135.869
392,131.52
393,136.717
394,136.297
395,137.171
396,138.413
397,134.136
398,132.222
399,137.136
400,131.578
401,133.343
402,134.289
403,132.598
404,130.313
405,130.984
406,133.308
407,137.48
408,135.694
409,131.676
410,126.211
411,126.454
412,124.926
413,125.361
414,120.677
415,123.004
416,122.559
417,126.721
418,126.09
419,123.086
420,121.916
421,116.911
422,117.533
423,121.306
424,121.974
425,124.356
426,129.105
427,128.088
428,133.214
429,133.55
430,130.878
431,130.67
432,128.972
433,127.193
434,127.135
435,129.358
436,123.826
437,117.164
438,116.273
439,116.292
440,115.955
441,111.817
442,111.581
443,112.131
444,114.66
445,116.041
446,115.288
447,118.136
448,119.268
449,115.587
450,113.992
451,115.687
452,117.725
453,120.361
454,118.696
455,119.081
456,117.046
457,121.653
458,120.98
459,118.098
460,117.484
461,116.548
462,115.323
463,115.759
464,118.58
465,113.559
466,114.858
467,116.447
468,118.261
469,116.713
470,117.922
471,116.724
472,113.403
473,114.989
474,111.926
475,113.446
476,119.383
477,118.337
478,121.631
479,119.045
480,121.561
481,121.852
482,121.453
483,119.209
484,115.111
485,117.425
486,119.772
487,123.111
488,127.628
489,138.164
490,138.979
491,143.624
492,147.491
493,153.437
494,151.752
495,157.85
496,153.837
497,151.582
498,147.369
499,144.214
500,146.767
501,138.849
502,145.256
503,148.805
504,144.687
505,147.69
506,149.978
507,153.341
508,150.848
509,149.538
510,152.311
511,154.3
512,156.36
513,157.368
514,158.934
515,155.636
516,167.729
517,161.98
518,165.2
519,174.277
520,174.571
521,180.219
522,178.919
523,175.421
524,183.224
525,188.349
526,192.443
527,194.983
528,192.723
529,187.957
530,178.219
531,177.776
532,172.879
533,169.293
534,177.889
535,183.188
536,187.049
537,190.286
538,195.995
539,199.156
540,204.301
541,205.219
542,217.05
543,218.596
544,224.394
545,226.749
546,227.214
547,223.038
548,226.53
549,224.407
550,224.539
551,226.715
552,227.002
553,238.244
554,239.316
555,230.955
556,225.94
557,225.018
558,214.932
559,208.572
560,206.915
561,204.332
562,201.552
563,208.774
564,214.186
565,217.051
566,223.075
567,227.692
568,225.033
569,223.684
570,212.706
571,222.993
572,218.063
573,220.282
574,216.167
575,215.982
576,219.481
577,232.143
578,229.183
579,220.571
580,212.65
581,211.578
582,219.321
583,219.091
584,222.027
585,224.687
586,232.85
587,237.735
588,235.584
589,243.113
590,233.013
591,226.073
592,219.291
593,222.843
594,221.043
595,220.856
596,219.516
597,229.857
598,221.05
599,228.243
600,226.124
601,227.949
602,228.982
603,233.889
604,229.47
605,218.291
606,198.957
607,195.804
608,184.72
609,187.045
610,185.354
611,174.694
612,173.108
613,173.634
614,177.079
615,188.751
616,191.913
617,205.265
618,210.838
619,204.665
620,205.033
621,204.065
622,206.227
623,212.089
624,212.986
625,209.729
626,202.017
627,201.776
628,199.046
629,214.591
630,217.042
631,225.918
632,227.314
633,221.012
634,223.278
635,225.172
636,228.283
637,220.032
638,212.944
639,211.681
640,209.643
641,204.432
642,204.544
643,205.945
644,215.784
645,203.676
646,197.968
647,194.858
648,191.282
649,191.003
650,186.348
651,186.276
652,189.188
653,193.056
654,211.161
655,214.195
656,197.297
657,199.135
658,209.828
659,208.654
660,207.946
661,214.352
662,218.441
663,219.338
664,221.804
665,222.341
666,217.372
667,216.152
668,210.494
669,206.769
670,211.509
671,206.964
672,212.537
673,216.071
674,209.142
675,214.699
676,220.407
677,226.441
678,230.397
679,231.208
680,236.987
681,242.626
682,245.457
683,239.238
684,236.934
685,238.935
686,251.933
687,246.123
688,245.062
689,250.656
690,247.949
691,248.395
692,263.917
693,260.646
694,259.436
695,253.445
696,250.417
697,252.355
698,257.182
699,258.825
700,267.082
